Name of Bank,Tenure,Interest
LIC Housing Finance,1 year 6 months,7.50%
LIC Housing Finance,2 years,7.55%
LIC Housing Finance,3 years,7.60%
LIC Housing Finance,5 years,7.60%
Federal Bank,7 days to 14 days,3.50%
Federal Bank,15 days to 45 days,3.75%
Federal Bank,46 days to 60 days,4.00%
Federal Bank,61 days to 90 days,4.00%
Federal Bank,91 days to 180 days,4.50%
AU Small Finance Bank,7 days to 1 month 15 days,4.00%
AU Small Finance Bank,1 month 16 days to 3 months,5.00%
AU Small Finance Bank,3 months 1 day to 6 months,6.00%
AU Small Finance Bank,6 months 1 day to 12 months,6.50%
AU Small Finance Bank,12 months 1 day to 15 months,7.05%
Corporation Bank,7 days to 14 days,4.00%
Corporation Bank,15 days to 30 days,4.00%
Corporation Bank,31 days to 45 days,4.25%
Corporation Bank,46 days to 90 days,4.50%
Corporation Bank,91 days to 120 days,5.00%
ESAF Small Finance Bank,7 days to 14 days,5.00%
ESAF Small Finance Bank,15 days to 59 days,5.50%
ESAF Small Finance Bank,60 days to 90 days,6.25%
ESAF Small Finance Bank,91 days to 181 days,6.50%
ESAF Small Finance Bank,182 days,6.00%
IndusInd Bank,7 days to 14 days,4.00%
IndusInd Bank,15 days to 30 days,4.25%
IndusInd Bank,31 days to 45 days,5.00%
IndusInd Bank,46 days to 60 days,5.50%
IndusInd Bank,61 days to 90 days,5.50%
RBL Bank,7 days to 14 days,5.00%
RBL Bank,15 days to 45 days,5.50%
RBL Bank,46 days to 90 days,6.15%
RBL Bank,91 days to 180 days,6.40%
RBL Bank,181 days to 240 days,6.65%
HSBC Bank,7 days to 14 days,2.25%
HSBC Bank,15 days to 29 days,2.50%
HSBC Bank,30 days to 59 days,2.75%
HSBC Bank,60 days to 89 days,2.80%
HSBC Bank,90 days to 93 days,3.10%
DCB Bank,7 days to 14 days,5.00%
DCB Bank,15 days to 45 days,5.30%
DCB Bank,46 days to 90 days,5.50%
DCB Bank,91 days to 179 days,6.00%
DCB Bank,6 months to 364 days,6.60%
South Indian Bank,7 days to 45 days,4.00%
South Indian Bank,46 days to 90 days,5.00%
